PATRIC.ID,CDMM_A,CDMM_B,CDMM_C,Comm_A,Comm_B,Comm_C,IEC_A,IEC_B,IEC_C
fig|645463.3.peg.247,19.52,20.5,22.67,17.09,17.52,19.06,16.64,20.29,19.13
fig|645463.3.peg.248,13.54,15.63,17.93,14.29,15.88,14,13,16.24,14.64
fig|645463.3.peg.249,4.33,6.63,6.08,6.63,4.97,4.67,6.26,5.01,5.23
fig|645463.3.peg.250,14.53,14.09,17.13,15.54,15.6,15.96,15.74,15.06,16.5
fig|645463.3.peg.251,8.1,9.88,11.8,10.6,11.28,12.91,9.17,10.09,11.46
fig|645463.3.peg.252,24.24,30.01,31.25,26.16,30.69,28.26,28.66,32.1,31.6
fig|645463.3.peg.253,10.5,12.64,14.36,12.21,15.15,12.39,12.62,14.94,13.82
fig|645463.3.peg.254,107.57,120.84,121.72,106.92,119.59,138.66,137.63,156.68,154.61
fig|645463.3.peg.255,1.58,1.62,2.08,2.57,3.01,3.54,2.98,4.44,4.2
fig|645463.3.peg.256,3.84,4.24,4.98,5.92,7.54,6.7,5.62,6.95,6.59
fig|645463.3.peg.257,4.09,4.48,4.94,6.18,7.24,7.1,5.9,7.31,7.29
fig|645463.3.peg.258,3.36,4.53,4.82,5.21,5.87,6.3,4.34,5.54,5.59
fig|645463.3.peg.259,8.2,10.54,9.83,8.91,11.38,12.38,7.49,11.15,10.5
fig|645463.3.peg.260,16.91,21.14,20.42,28.52,38.24,36.23,20.67,22.59,23.82
fig|645463.3.peg.262,12.6,16.26,15.11,19.86,26.01,24.45,19.91,25.14,26.12
fig|645463.3.peg.263,5.74,7.7,6.77,7.69,9.33,9.93,9.02,13.35,12.63
fig|645463.3.peg.264,9.28,11.29,9.77,12.2,13.84,14.8,19.55,28.55,27.45
fig|645463.3.peg.265,8.06,10.97,9.5,9.4,10.97,11.43,11.52,19.07,16.83
fig|645463.3.peg.266,17.95,23.04,20.73,22.75,26.96,25.37,31.64,48.55,49.49
fig|645463.3.peg.267,68.4,89.56,85.37,110.83,135.75,123.77,109.12,179.55,183.17
fig|645463.3.peg.268,38.52,61.77,56.96,66.24,88.91,96.42,62.65,93.45,94.36
fig|645463.3.peg.269,2.54,2.54,3.19,4.25,5.3,5.64,5.22,5.61,5.8
fig|645463.3.peg.270,0.8,1.02,1.13,1.63,2.1,1.77,1.29,1.75,2.07
fig|645463.3.peg.271,1.1,1.35,1.42,1.96,1.74,2.38,1.27,1.43,1.58
